YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,24.23,18.71,26.06,27.30,21.92
1902,24.33,19.70,26.44,27.18,21.49
1903,23.80,19.05,25.47,27.17,21.27
1904,23.86,18.66,25.84,26.83,21.43
1905,23.71,17.58,24.99,27.37,21.48
1906,24.12,18.37,25.93,27.15,22.08
1907,23.87,19.35,24.89,26.89,21.76
1908,23.95,19.04,26.02,26.95,21.17
1909,23.78,18.42,25.71,26.53,21.75
1910,23.77,18.93,25.74,26.81,20.96
1911,23.95,18.85,25.53,27.18,21.47
1912,24.11,19.72,25.81,27.13,21.29
1913,23.88,19.09,25.56,26.93,21.32
1914,24.03,19.31,25.53,27.15,21.52
1915,24.29,18.47,26.03,27.60,22.01
1916,24.08,19.10,26.41,26.91,21.27
1917,23.56,19.05,24.89,26.75,21.01
1918,23.83,18.40,25.39,27.07,21.54
1919,24.01,18.96,25.85,27.06,21.48
1920,23.91,18.72,25.27,27.05,21.85
1921,24.33,19.06,26.60,26.99,21.39
1922,24.05,19.40,25.88,27.07,21.20
1923,24.05,18.80,26.12,27.11,21.40
1924,24.15,19.02,26.14,27.18,21.52
1925,23.95,18.31,26.18,26.92,21.51
1926,24.04,19.68,25.28,27.41,21.26
1927,23.94,18.77,25.51,26.98,21.75
1928,24.29,19.39,26.19,27.18,21.81
1929,24.08,18.62,26.36,27.09,21.42
1930,23.93,18.23,25.81,27.04,21.71
1931,24.44,19.54,26.36,27.29,21.97
1932,24.21,19.12,25.91,27.32,21.75
1933,23.92,19.10,25.34,26.87,21.77
1934,24.13,19.15,25.89,27.29,21.55
1935,23.98,18.62,25.77,26.96,21.65
1936,24.12,19.03,26.02,26.94,21.86
1937,23.98,19.11,25.61,27.32,21.14
1938,23.98,18.46,26.50,26.86,21.31
1939,24.01,19.10,25.41,27.16,21.67
1940,24.06,19.03,25.49,27.08,21.91
1941,24.65,19.31,26.87,27.45,22.30
1942,24.22,19.07,26.49,27.18,21.72
1943,23.93,18.89,25.57,26.97,21.68
1944,24.03,18.54,25.70,27.27,21.76
1945,23.92,18.35,25.71,27.43,21.16
1946,24.42,19.52,26.12,27.24,22.13
1947,24.04,18.78,26.42,27.32,21.39
1948,24.11,18.83,26.04,27.08,21.73
1949,24.08,19.18,26.14,27.08,21.29
1950,23.71,18.71,25.50,26.87,21.14
1951,24.22,18.68,25.47,27.19,22.45
1952,24.34,19.86,26.04,27.25,21.77
1953,24.57,19.47,26.87,27.33,22.01
1954,24.13,19.11,26.50,27.09,21.15
1955,23.97,19.46,25.58,26.98,21.35
1956,23.96,18.83,26.31,26.66,21.41
1957,23.97,18.73,25.25,27.15,21.94
1958,24.62,20.01,26.45,27.43,22.13
1959,24.30,18.93,26.31,27.19,22.00
1960,24.29,19.72,25.70,27.34,21.84
1961,24.00,18.98,26.11,27.06,21.16
1962,24.04,18.91,25.91,27.14,21.47
1963,24.15,19.07,25.57,27.21,22.04
1964,24.10,18.83,26.38,26.90,21.58
1965,24.07,19.22,25.24,27.08,22.10
1966,24.36,19.93,26.07,27.17,21.83
1967,24.11,19.44,25.55,27.19,21.68
1968,23.94,18.25,25.62,27.22,21.69
1969,24.46,19.18,26.39,27.35,22.20
1970,24.26,19.56,26.39,27.06,21.55
1971,23.91,19.05,25.78,26.75,21.48
1972,24.10,18.57,25.78,27.27,21.88
1973,24.41,19.74,26.53,27.30,21.53
1974,24.00,18.54,26.24,27.02,21.38
1975,23.74,18.69,25.77,26.57,21.30
1976,24.06,18.87,25.61,26.86,22.25
1977,24.35,19.35,26.03,27.13,22.30
1978,24.23,18.95,25.94,27.10,22.22
1979,24.57,19.47,25.97,27.54,22.59
1980,24.55,19.64,26.58,27.26,22.17
1981,24.27,19.42,26.14,27.22,21.68
1982,24.15,19.14,25.41,27.31,22.02
1983,24.12,19.09,25.45,27.43,21.71
1984,24.26,18.85,26.51,27.10,21.82
1985,24.45,19.61,26.72,27.12,21.84
1986,24.20,19.12,25.94,27.17,21.90
1987,24.57,19.42,25.85,27.88,22.29
1988,24.42,19.70,26.24,27.22,22.00
1989,24.03,18.76,25.69,26.98,21.94
1990,24.21,19.44,25.55,27.18,22.11
1991,24.28,19.21,26.02,27.32,21.87
1992,24.15,19.06,25.64,27.15,22.05
1993,24.43,19.61,25.98,27.34,22.21
1994,24.46,19.76,26.30,27.30,21.97
1995,25.29,20.33,26.94,28.07,23.19
1996,24.55,20.79,26.49,27.22,21.76
1997,24.10,18.87,25.68,27.60,21.89
1998,24.76,19.72,26.41,27.69,22.42
1999,24.67,19.75,26.66,27.38,22.29
2000,24.60,19.33,26.47,27.23,22.68
2001,24.73,19.75,26.82,27.47,22.52
2002,25.00,19.65,27.22,27.71,22.58
2003,24.72,19.82,26.52,27.64,22.23
2004,24.74,19.93,27.06,27.33,22.24
2005,24.58,19.79,26.33,27.64,21.93
2006,25.06,21.36,26.52,27.40,22.66
2007,24.77,20.10,26.69,27.49,22.32
2008,24.61,19.16,26.46,27.26,22.86
2009,25.11,20.72,26.86,27.89,22.58
2010,25.13,20.20,27.83,27.50,22.60
2011,24.66,19.54,26.38,27.54,22.71
2012,24.69,19.34,26.55,27.71,22.35
