S. No. (Col.1),Category (Col.2),State/UT (Col.3),Year - 2014 (Col.4),Year - 2015 (Col.5),Year - 2016 (Col.6),Percentage Share of State/UT (2016) (Col.7),Rank Based on Incidence/ Percentage share (2016) (Col.8),Mid-Year Projected Population (In Lakhs) (2016)+ (Col.9),Rate of Cognizable Crimes (IPC) (2016)++ (Col.10),Rank Based on Crime Rate (2016) (Col.11)
1,State,Andhra Pradesh,114604,110693,106774,3.6,13,517.4,206.4,15
2,State,Arunachal Pradesh,2843,2968,2534,0.1,29,13.2,192.3,17
3,State,Assam,94337,103616,102250,3.4,14,325.8,313.9,5
4,State,Bihar,177595,176973,164163,5.5,9,1043,157.4,22
5,State,Chhattisgarh,58200,56692,55029,1.8,17,259.9,211.7,14
6,State,Goa,4466,3074,2692,0.1,28,19.9,135.6,25
7,State,Gujarat,131385,126935,147122,4.9,11,630.8,233.2,11
8,State,Haryana,79947,84466,88527,3,15,276.1,320.6,4
9,State,Himachal Pradesh,14160,14007,13386,0.4,21,71.2,188.1,20
10,State,Jammu & Kashmir,23848,23583,24501,0.8,20,124.6,196.6,16
11,State,Jharkhand,45335,45050,40710,1.4,18,338,120.4,30
12,State,Karnataka,137338,138847,148402,5,10,625.7,237.2,10
13,State,Kerala,206789,257074,260097,8.7,4,357.5,727.6,2
14,State,Madhya Pradesh,272423,268614,264418,8.9,2,782.6,337.9,3
15,State,Maharashtra,249834,275414,261714,8.8,3,1205.5,217.1,13
16,State,Manipur,3641,3847,3170,0.1,26,26,121.9,28
17,State,Meghalaya,3679,4079,3366,0.1,25,27.8,120.9,29
18,State,Mizoram,2140,2228,2425,0.1,30,10.7,227.3,12
19,State,Nagaland,1157,1302,1376,0,31,23.9,57.6,34
20,State,Odisha,74569,83360,81460,2.7,16,425.9,191.3,18
21,State,Punjab,37162,37983,40007,1.3,19,292,137,24
22,State,Rajasthan,210418,198080,180398,6.1,6,732.8,246.2,8
23,State,Sikkim,1065,766,809,0,32,6.5,124.7,27
24,State,Tamil Nadu,193200,187558,179896,6,7,695.2,258.8,7
25,State,Telangana,106830,106282,108991,3.7,12,368.5,295.7,6
26,State,Tripura,5499,4692,3933,0.1,24,38.4,102.4,31
27,State,Uttar Pradesh,240475,241920,282171,9.5,1,2192.4,128.7,26
28,State,Uttarakhand,9156,10248,10867,0.4,22,106.8,101.8,32
29,State,West Bengal,185672,179501,176569,5.9,8,938.3,188.2,19
30,UT,A & N Island,746,862,802,0,33,5.5,144.8,23
31,UT,Chandigarh,3221,3248,2996,0.1,27,18,166.4,21
32,UT,Dadra & Nagar Haveli,277,269,244,0,35,4.3,57.4,35
33,UT,Daman & Diu,233,302,271,0,34,3.3,81.1,33
34,UT,Delhi,155654,191377,209519,7,5,214.9,974.9,1
35,UT,Lakshadweep,81,50,36,0,36,0.8,43.9,36
36,UT,Puducherry,3584,3440,4086,0.1,23,16.8,242.8,9
